strike,impliedVolatility,option_type,root,root price,ER Date,Expiry,fee,daysout,OTM,ARR,PctOTM,POW,PctFee
187.5,52,call,BNTX,164.78,11/7/2022 5:00,1/27/2023,3.45,30,22.72,25,13.79,80,2.09
97.5,45,call,CF,88.59,2/13/2023 2:59,2/17/2023,2.95,51,8.91,23,10.05,71,3.33
37,35,call,CMCSA,35.09,1/25/2023 5:30,1/27/2023,0.71,30,1.91,24,5.44,69,2.02
95,50,call,CPA,83.8,,1/20/2023,1.69,23,11.2,31,13.37,83,2.01
140,38,call,CRM,131.38,2/27/2023 2:59,2/3/2023,3.31,37,8.62,24,6.57,69,2.52
112,53,call,CRWD,101.91,11/29/2022 14:00,1/20/2023,2.17,23,10.09,33,9.9,75,2.13
79,62,call,DDOG,71.64,2/8/2023 5:30,1/27/2023,2.6,30,7.36,43,10.28,70,3.62
95,39,call,DHI,89.28,1/31/2023 5:30,1/27/2023,1.94,30,5.72,25,6.41,70,2.17
70,46,call,DVN,63.43,2/13/2023 2:59,2/17/2023,2.19,51,6.57,24,10.36,71,3.44
187.5,33,call,FDX,177.43,12/20/2022 13:00,2/3/2023,3.79,37,10.07,20,5.68,69,2.13
39.5,43,call,FLNG,35.51,,2/17/2023,0.97,51,3.99,19,11.24,74,2.75
8,81,call,FSR,6.85,11/2/2022 14:00,2/3/2023,0.34,37,1.15,49,16.79,72,5.04
96,41,call,GOOGL,87.92,1/30/2023 13:00,2/3/2023,1.81,37,8.08,20,9.2,74,2.06
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
