strike,open_IVol,option_type,root,root price,ER Date,Expiry,fee,daysout,OTM,ARR,PctOTM,POW,PctFee,BidAskSpread
57.50,27.17,call,AIG,58.77,23-11-11,2024-02-16,4.85,163.04,-1.27,18.47,-2.17,45.19,8.25,4.08
57.50,28.75,call,AIG,58.77,23-11-11,2024-06-21,6.55,289.04,-1.27,14.07,-2.17,46.58,11.14,3.03
60.00,25.66,call,AIG,58.77,23-11-11,2024-02-16,3.45,163.04,1.23,13.14,2.08,54.79,5.87,5.71
60.00,27.44,call,AIG,58.77,23-11-11,2024-06-21,5.15,289.04,1.23,11.07,2.08,53.37,8.76,3.85
110.00,28.21,call,XOM,114.14,23-11-11,2024-04-19,12.11,226.04,-4.14,17.14,-3.63,43.38,10.61,1.23
110.00,28.38,call,XOM,114.14,23-11-11,2024-06-21,13.46,289.04,-4.14,14.89,-3.63,44.18,11.79,1.11
115.00,26.97,call,XOM,114.14,23-11-11,2024-04-19,9.26,226.04,0.86,13.10,0.75,51.40,8.11,1.61
115.00,27.30,call,XOM,114.14,23-11-11,2024-06-21,10.66,289.04,0.86,11.80,0.75,51.23,9.34,1.40
12.50,49.61,call,ZIM,11.76,23-11-11,2024-04-19,1.45,226.04,0.74,19.85,6.34,56.25,12.29,19.74
35.00,49.76,call,ZION,36.43,23-11-11,2024-04-19,6.25,226.04,-1.43,27.70,-3.93,45.93,17.16,3.17
35.00,49.01,call,ZION,36.43,23-11-11,2024-07-19,7.12,317.04,-1.43,22.52,-3.93,46.51,19.56,4.17
37.50,47.72,call,ZION,36.43,23-11-11,2024-04-19,4.92,226.04,1.07,21.83,2.94,53.07,13.52,6.00
37.50,47.02,call,ZION,36.43,23-11-11,2024-07-19,5.85,317.04,1.07,18.49,2.94,52.63,16.06,3.39
40.00,46.02,call,ZION,36.43,23-11-11,2024-04-19,3.85,226.04,3.57,17.07,9.80,60.18,10.57,5.13
40.00,46.28,call,ZION,36.43,23-11-11,2024-07-19,4.85,317.04,3.57,15.33,9.80,58.58,13.31,4.08
42.50,44.68,call,ZION,36.43,23-11-11,2024-04-19,2.96,226.04,6.07,13.13,16.66,66.94,8.13,5.00
42.50,45.29,call,ZION,36.43,23-11-11,2024-07-19,3.95,317.04,6.07,12.48,16.66,64.25,10.84,5.00
