index,strike,open_IVol,option_type,root,root price,ER Date,Expiry,fee,daysout,OTM,ARR,PctOTM,POW,PctFee
226,410.00,51.21,call,MDB,387.79,,2023-06-23,9.72,17.42,22.21,52.55,5.73,69.07,2.51
227,415.00,51.43,call,MDB,387.79,,2023-06-23,8.36,17.42,27.21,45.19,7.02,72.70,2.16
318,420.00,51.01,call,MDB,387.79,,2023-07-07,11.56,31.42,32.21,34.64,8.31,70.30,2.98
279,425.00,51.28,call,MDB,387.79,,2023-06-30,8.47,24.42,37.21,32.67,9.60,75.51,2.19
319,425.00,51.17,call,MDB,387.79,,2023-07-07,10.32,31.42,37.21,30.93,9.60,72.92,2.66
348,425.00,50.17,call,MDB,387.79,,2023-07-14,12.59,38.42,37.21,30.84,9.60,71.33,3.25
386,430.00,50.45,call,MDB,387.79,,2023-07-21,12.90,45.42,42.21,26.73,10.88,71.92,3.33
351,445.00,53.89,call,MDB,387.79,,2023-07-14,10.60,38.42,57.21,25.97,14.75,78.44,2.73
349,435.00,50.24,call,MDB,387.79,,2023-07-14,10.23,38.42,47.21,25.05,12.17,75.95,2.64
350,440.00,50.30,call,MDB,387.79,,2023-07-14,9.19,38.42,52.21,22.51,13.46,78.05,2.37
387,440.00,50.22,call,MDB,387.79,,2023-07-21,10.46,45.42,52.21,21.68,13.46,76.21,2.70
4236,9.00,40.63,call,MPW,8.49,2/1/2023 5:30,2023-06-30,0.17,24.42,0.51,29.91,5.94,70.87,2.00
4245,9.00,38.28,call,MPW,8.49,2/1/2023 5:30,2023-07-07,0.20,31.42,0.51,26.67,5.94,69.64,2.30
