strike,open_IVol,option_type,root,root price,ER Date,Expiry,fee,daysout,OTM,ARR,PctOTM,POW,PctFee,BidAskSpread
60.00,21.70,put,AIG,58.77,23-11-11,2024-02-16,4.07,163.04,-1.23,15.52,-2.08,44.35,6.93,2.44
57.50,23.13,put,AIG,58.77,23-11-11,2024-02-16,2.96,163.04,1.27,11.28,2.17,55.64,5.04,5.00
60.00,22.08,put,AIG,58.77,23-11-11,2024-06-21,5.25,289.04,-1.23,11.28,-2.08,45.82,8.93,3.77
115.00,20.95,put,XOM,114.14,23-11-11,2024-04-19,7.97,226.04,-0.86,11.28,-0.75,48.20,6.99,1.25
115.00,21.38,put,XOM,114.14,23-11-11,2024-06-21,9.11,289.04,-0.86,10.08,-0.75,48.44,7.98,1.64
10.00,50.88,put,ZIM,11.76,23-11-11,2024-04-19,0.94,226.04,1.76,12.95,14.93,65.68,8.02,23.00
37.50,42.66,put,ZION,36.43,23-11-11,2024-07-19,6.35,317.04,-1.07,20.07,-2.94,47.10,17.43,3.13
35.00,45.33,put,ZION,36.43,23-11-11,2024-04-19,4.35,226.04,1.43,19.28,3.93,54.47,11.94,4.55
35.00,44.48,put,ZION,36.43,23-11-11,2024-07-19,5.15,317.04,1.43,16.28,3.93,53.85,14.14,3.85
32.50,48.44,put,ZION,36.43,23-11-11,2024-04-19,3.45,226.04,3.93,15.29,10.79,61.77,9.47,5.71
32.50,46.75,put,ZION,36.43,23-11-11,2024-07-19,4.15,317.04,3.93,13.12,10.79,60.33,11.39,4.76
30.00,50.31,put,ZION,36.43,23-11-11,2024-04-19,2.66,226.04,6.43,11.80,17.65,68.81,7.31,5.56
30.00,49.66,put,ZION,36.43,23-11-11,2024-07-19,3.33,317.04,6.43,10.51,17.65,66.26,9.13,8.82
