index,strike,open_IVol,option_type,root,root price,ER Date,Expiry,fee,daysout,OTM,ARR,PctOTM,POW,PctFee
1994,98.00,38.25,put,AMZN,100.89,2023-02-01 02:59,2023-06-16,5.28,71.11,2.89,26.83,2.87,56.85,5.23
1993,97.00,38.83,put,AMZN,100.89,2023-02-01 02:59,2023-06-16,4.92,71.11,3.89,25.05,3.86,59.08,4.88
1992,96.00,39.30,put,AMZN,100.89,2023-02-01 02:59,2023-06-16,4.56,71.11,4.89,23.21,4.85,61.28,4.52
1991,95.00,39.64,put,AMZN,100.89,2023-02-01 02:59,2023-06-16,4.22,71.11,5.89,21.49,5.84,63.46,4.19
1990,94.00,40.16,put,AMZN,100.89,2023-02-01 02:59,2023-06-16,3.91,71.11,6.89,19.90,6.83,65.52,3.88
1989,93.00,40.58,put,AMZN,100.89,2023-02-01 02:59,2023-06-16,3.61,71.11,7.89,18.38,7.82,67.54,3.58
2302,95.00,37.02,put,AMZN,100.89,2023-02-01 02:59,2023-07-21,5.11,106.11,5.89,17.43,5.84,61.85,5.07
2335,95.00,38.26,put,AMZN,100.89,2023-02-01 02:59,2023-08-18,6.31,134.11,5.89,17.03,5.84,60.24,6.26
1988,92.00,40.87,put,AMZN,100.89,2023-02-01 02:59,2023-06-16,3.33,71.11,8.89,16.91,8.82,69.55,3.30
1987,91.00,41.38,put,AMZN,100.89,2023-02-01 02:59,2023-06-16,3.08,71.11,9.89,15.64,9.81,71.40,3.05
39,55.00,48.44,put,PB,60.01,,2023-06-16,2.65,71.11,5.01,22.67,8.35,65.83,4.42
38,50.00,56.10,put,PB,60.01,,2023-06-16,2.06,71.11,10.01,17.64,16.68,76.94,3.44
