index,strike,open_IVol,option_type,root,root price,ER Date,Expiry,fee,daysout,OTM,ARR,PctOTM,POW,PctFee
751,355.00,50.90,put,MDB,375.71,,2023-06-30,7.85,15.44,20.71,49.40,5.51,70.60,2.09
801,350.00,49.79,put,MDB,375.71,,2023-07-07,8.32,22.44,25.71,36.04,6.84,71.71,2.22
840,345.00,50.02,put,MDB,375.71,,2023-07-14,9.29,29.44,30.71,30.65,8.17,72.58,2.47
893,340.00,52.34,put,MDB,375.71,,2023-07-28,12.49,43.44,35.71,27.93,9.51,70.99,3.32
839,340.00,50.59,put,MDB,375.71,,2023-07-14,8.01,29.44,35.71,26.44,9.51,75.65,2.13
876,340.00,50.46,put,MDB,375.71,,2023-07-21,9.51,36.44,35.71,25.36,9.51,73.45,2.53
892,335.00,52.37,put,MDB,375.71,,2023-07-28,10.84,43.44,40.71,24.24,10.84,73.72,2.88
891,330.00,53.00,put,MDB,375.71,,2023-07-28,9.65,43.44,45.71,21.58,12.17,76.10,2.57
4389,8.50,52.34,put,MPW,9.07,2/1/2023 5:30,2023-06-30,0.18,15.44,0.57,47.59,6.24,72.54,2.01
4403,8.50,50.39,put,MPW,9.07,2/1/2023 5:30,2023-07-07,0.23,22.44,0.57,41.72,6.24,69.71,2.56
4443,8.00,56.45,put,MPW,9.07,2/1/2023 5:30,2023-07-28,0.28,43.44,1.07,26.41,11.76,73.97,3.14
4425,8.00,57.42,put,MPW,9.07,2/1/2023 5:30,2023-07-21,0.24,36.44,1.07,26.24,11.76,75.47,2.62
4415,8.00,55.86,put,MPW,9.07,2/1/2023 5:30,2023-07-14,0.18,29.44,1.07,24.96,11.76,78.48,2.01
5235,230.00,70.43,put,SMCI,244.43,,2023-06-23,5.33,8.44,14.43,94.23,5.90,71.50,2.18
5309,225.00,71.97,put,SMCI,244.43,,2023-06-30,6.95,15.44,19.43,67.22,7.95,71.21,2.84
5308,222.50,72.13,put,SMCI,244.43,,2023-06-30,6.12,15.44,21.93,59.24,8.97,73.68,2.51
5307,220.00,72.23,put,SMCI,244.43,,2023-06-30,5.42,15.44,24.43,52.47,9.99,76.08,2.22
5354,222.50,67.65,put,SMCI,244.43,,2023-07-07,7.52,22.44,21.93,50.08,8.97,71.24,3.08
5386,222.50,65.04,put,SMCI,244.43,,2023-07-14,9.03,29.44,21.93,45.78,8.97,69.46,3.69
5385,220.00,65.39,put,SMCI,244.43,,2023-07-14,8.25,29.44,24.43,41.85,9.99,71.46,3.38
5424,220.00,65.44,put,SMCI,244.43,,2023-07-21,9.73,36.44,24.43,39.85,9.99,69.47,3.98
5384,217.50,65.53,put,SMCI,244.43,,2023-07-14,7.47,29.44,26.93,37.92,11.02,73.48,3.06
5351,215.00,68.05,put,SMCI,244.43,,2023-07-07,5.47,22.44,29.43,36.44,12.04,77.65,2.24
5383,215.00,65.43,put,SMCI,244.43,,2023-07-14,6.75,29.44,29.43,34.24,12.04,75.50,2.76
5382,212.50,66.06,put,SMCI,244.43,,2023-07-14,6.12,29.44,31.93,31.07,13.06,77.22,2.51
5423,210.00,66.44,put,SMCI,244.43,,2023-07-21,6.85,36.44,34.43,28.07,14.09,76.52,2.80
5381,210.00,65.98,put,SMCI,244.43,,2023-07-14,5.50,29.44,34.43,27.90,14.09,79.11,2.25
