,strike,impliedVolatility,option_type,root,root price,ER Date,Expiry,fee,daysout,OTM,ARR,PctOTM,POW,PctFee
7,310.0,44,put,ADBE,340.3,2022-12-15 13:00,2023-01-20,7.36,36,30.3,21,8.9,74,2.16
8,315.0,46,put,ADBE,340.3,2022-12-15 13:00,2023-01-13,7.7,29,25.3,28,7.43,72,2.26
9,320.0,47,put,ADBE,340.3,2022-12-15 13:00,2023-01-06,7.6,22,20.3,36,5.97,70,2.23
10,315.0,44,put,ADBE,340.3,2022-12-15 13:00,2023-01-20,8.64,36,25.3,25,7.43,70,2.54
11,325.0,60,put,ADBE,340.3,2022-12-15 13:00,2022-12-23,7.22,8,15.3,94,4.5,69,2.12
24,60.0,53,put,AMD,68.85,2023-01-30 13:00,2023-01-27,1.64,43,8.85,20,12.85,77,2.38
25,62.0,51,put,AMD,68.85,2023-01-30 13:00,2023-01-13,1.42,29,6.85,25,9.95,76,2.06
26,61.0,53,put,AMD,68.85,2023-01-30 13:00,2023-01-27,1.87,43,7.85,22,11.4,74,2.71
27,63.0,51,put,AMD,68.85,2023-01-30 13:00,2023-01-13,1.69,29,5.85,30,8.5,72,2.45
28,62.0,52,put,AMD,68.85,2023-01-30 13:00,2023-01-27,2.13,43,6.85,26,9.95,71,3.1
29,64.0,50,put,AMD,68.85,2023-01-30 13:00,2023-01-13,1.96,29,4.85,35,7.04,69,2.85
30,63.0,51,put,AMD,68.85,2023-01-30 13:00,2023-01-27,2.42,43,5.85,29,8.5,69,3.51
34,130.0,57,put,AMR,146.7,,2023-01-20,4.08,36,16.7,27,11.38,74,2.78
41,85.0,40,put,AMZN,91.67,2023-02-01 02:59,2023-01-20,2.03,36,6.67,22,7.28,72,2.21
42,84.0,43,put,AMZN,91.67,2023-02-01 02:59,2023-01-27,2.26,43,7.67,20,8.37,72,2.47
43,86.0,41,put,AMZN,91.67,2023-02-01 02:59,2023-01-13,1.98,29,5.67,26,6.19,70,2.15
44,86.0,40,put,AMZN,91.67,2023-02-01 02:59,2023-01-20,2.29,36,5.67,25,6.19,69,2.5
45,85.0,42,put,AMZN,91.67,2023-02-01 02:59,2023-01-27,2.53,43,6.67,23,7.28,69,2.76
47,20.0,51,put,ARNC,22.48,2023-02-16 05:30,2023-01-20,0.47,36,2.48,21,11.03,76,2.11
52,49.0,48,put,ASO,54.18,,2023-01-20,1.09,36,5.18,20,9.56,74,2.02
53,49.0,51,put,ASO,54.18,,2023-01-27,1.4,43,5.18,21,9.56,71,2.57
54,50.0,52,put,ASO,54.18,,2023-01-13,1.24,29,4.18,28,7.72,70,2.28
55,50.0,47,put,ASO,54.18,,2023-01-20,1.3,36,4.18,24,7.72,70,2.39
56,51.0,49,put,ASO,54.18,,2023-01-06,1.11,22,3.18,33,5.87,69,2.05
58,175.0,39,put,BA,188.54,2023-01-24 05:30,2023-01-20,4.0,36,13.54,21,7.18,72,2.12
59,177.5,39,put,BA,188.54,2023-01-24 05:30,2023-01-13,3.99,29,11.04,26,5.86,70,2.11
60,175.0,42,put,BA,188.54,2023-01-24 05:30,2023-01-27,5.29,43,13.54,23,7.18,69,2.8
63,270.0,43,put,BIIB,287.6,2023-02-01 05:30,2023-01-13,6.12,29,17.6,26,6.12,69,2.13
69,160.0,56,put,BNTX,187.65,2022-11-07 05:00,2023-01-20,3.88,36,27.65,20,14.73,81,2.07
70,165.0,55,put,BNTX,187.65,2022-11-07 05:00,2023-01-13,4.12,29,22.65,27,12.07,79,2.2
71,167.5,55,put,BNTX,187.65,2022-11-07 05:00,2023-01-13,4.72,29,20.15,31,10.74,76,2.52
72,165.0,55,put,BNTX,187.65,2022-11-07 05:00,2023-01-20,5.0,36,22.65,26,12.07,76,2.66
73,175.0,57,put,BNTX,187.65,2022-11-07 05:00,2022-12-30,3.98,15,12.65,50,6.74,72,2.12
74,170.0,54,put,BNTX,187.65,2022-11-07 05:00,2023-01-20,6.35,36,17.65,34,9.41,71,3.38
75,170.0,54,put,BNTX,187.65,2022-11-07 05:00,2023-01-27,7.55,43,17.65,33,9.41,69,4.02
83,85.0,48,put,CF,93.0,2023-02-13 02:59,2023-01-13,1.89,29,8.0,25,8.6,74,2.03
84,85.0,46,put,CF,93.0,2023-02-13 02:59,2023-01-20,2.2,36,8.0,23,8.6,73,2.37
85,87.0,44,put,CF,93.0,2023-02-13 02:59,2023-01-13,2.25,29,6.0,30,6.45,69,2.42
89,125.0,39,put,CRM,134.91,2023-02-27 02:59,2023-01-20,2.73,36,9.91,20,7.35,73,2.03
90,125.0,39,put,CRM,134.91,2023-02-27 02:59,2023-01-27,3.3,43,9.91,20,7.35,71,2.45
91,127.0,39,put,CRM,134.91,2023-02-27 02:59,2023-01-13,2.79,29,7.91,25,5.86,70,2.07
95,105.0,52,put,CRWD,121.1,2022-11-29 14:00,2023-01-27,2.85,43,16.1,19,13.29,78,2.35
96,110.0,50,put,CRWD,121.1,2022-11-29 14:00,2023-01-13,2.81,29,11.1,29,9.17,74,2.32
97,110.0,50,put,CRWD,121.1,2022-11-29 14:00,2023-01-20,3.35,36,11.1,27,9.17,72,2.77
98,110.0,50,put,CRWD,121.1,2022-11-29 14:00,2023-01-27,4.05,43,11.1,28,9.17,70,3.34
100,50.0,48,put,DAC,54.4,2023-02-06 02:59,2023-01-20,1.43,36,4.4,26,8.09,71,2.62
105,70.0,61,put,DDOG,81.35,2023-02-08 05:30,2023-01-13,1.71,29,11.35,26,13.95,80,2.1
106,70.0,61,put,DDOG,81.35,2023-02-08 05:30,2023-01-20,2.11,36,11.35,26,13.95,78,2.6
107,69.0,61,put,DDOG,81.35,2023-02-08 05:30,2023-01-27,2.29,43,12.35,23,15.18,78,2.81
108,73.0,57,put,DDOG,81.35,2023-02-08 05:30,2023-01-06,1.76,22,8.35,35,10.26,77,2.16
109,75.0,56,put,DDOG,81.35,2023-02-08 05:30,2022-12-30,1.69,15,6.35,49,7.81,76,2.08
110,72.0,60,put,DDOG,81.35,2023-02-08 05:30,2023-01-13,2.2,29,9.35,33,11.49,76,2.7
111,74.0,57,put,DDOG,81.35,2023-02-08 05:30,2023-01-06,2.06,22,7.35,41,9.04,74,2.54
112,76.0,55,put,DDOG,81.35,2023-02-08 05:30,2022-12-30,1.98,15,5.35,58,6.58,72,2.44
113,75.0,56,put,DDOG,81.35,2023-02-08 05:30,2023-01-06,2.33,22,6.35,46,7.81,71,2.86
114,74.0,59,put,DDOG,81.35,2023-02-08 05:30,2023-01-13,2.75,29,7.35,42,9.04,71,3.38
