,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,contractSize,currency,option_type,root,root price,Quote_Time,ER Date,Expstring,Expiry,fee,daysout,OTM,ARR,PctOTM,callPITM,POW,PctFee,BidAskSpread
0,MDB230616C00095000,2022-12-21 16:23:00+00:00,95.0,112.9,103.5,107.25,0.0,0.0,,1.0,0.0010000000000000002,REGULAR,USD,call,MDB,375.43,2023-06-14 18:07:32.436257,,20230616,2023-06-16,106.3125,1.2447634692476852,-280.43,8303.503778388626,-74.69568228431399,100.0,0.0,28.317529233145994,3.4965034965034967
1,MDB230616C00100000,2023-05-22 14:33:48+00:00,100.0,179.09,270.95,276.2,0.0,0.0,1.0,1.0,783.5937705078126,REGULAR,USD,call,MDB,375.43,2023-06-14 18:07:32.436257,,20230616,2023-06-16,274.8875,1.2447634692476852,-275.43,21470.000187012847,-73.36387608875157,99.80795666138687,0.19204333861313216,73.21937511653304,1.9007965242577842
2,MDB230616C00110000,2023-04-11 17:54:25+00:00,110.0,101.69,153.65,156.15,0.0,0.0,1.0,0.0,0.0010000000000000002,REGULAR,USD,call,MDB,375.43,2023-06-14 18:07:32.436257,,20230616,2023-06-16,155.525,1.2447634692476852,-265.43,12147.23033635641,-70.70026369762672,100.0,0.0,41.42583171296913,1.601024655779699
3,MDB230616C00120000,2023-03-21 18:29:50+00:00,120.0,102.12,106.15,111.75,0.0,0.0,60.0,8.0,0.0010000000000000002,REGULAR,USD,call,MDB,375.43,2023-06-14 18:07:32.436257,,20230616,2023-06-16,110.35,1.2447634692476852,-255.43,8618.851423352708,-68.03665130650188,100.0,0.0,29.392962736062646,5.011185682326617
4,MDB230616C00125000,2022-11-03 19:46:40+00:00,125.0,55.94,55.8,57.9,0.0,0.0,1.0,1.0,0.0010000000000000002,REGULAR,USD,call,MDB,375.43,2023-06-14 18:07:32.436257,,20230616,2023-06-16,57.375,1.2447634692476852,-250.43,4481.256007384337,-66.70484511093946,100.0,0.0,15.28247609407879,3.62694300518135
5,MDB230616C00130000,2023-03-21 18:29:50+00:00,130.0,93.12,97.3,101.9,0.0,0.0,60.0,10.0,0.0010000000000000002,REGULAR,USD,call,MDB,375.43,2023-06-14 18:07:32.436257,,20230616,2023-06-16,100.75,1.2447634692476852,-245.43,7869.046496626963,-65.37303891537704,100.0,0.0,26.8358948405828,4.5142296368989285
6,MDB230616C00135000,2022-12-05 18:42:32+00:00,135.0,41.8,71.0,72.2,0.0,0.0,2.0,5.0,0.0010000000000000002,REGULAR,USD,call,MDB,375.43,2023-06-14 18:07:32.436257,,20230616,2023-06-16,71.9,1.2447634692476852,-240.43,5615.7264824563645,-64.04123271981462,100.0,0.0,19.151373092187626,1.6620498614958488
7,MDB230616C00140000,2023-04-25 13:55:31+00:00,140.0,81.5,140.4,143.0,0.0,0.0,2.0,8.0,0.0010000000000000002,REGULAR,USD,call,MDB,375.43,2023-06-14 18:07:32.436257,,20230616,2023-06-16,142.35,1.2447634692476852,-235.43,11118.201179105192,-62.70942652425219,100.0,0.0,37.91652238766215,1.8181818181818141
8,MDB230616C00145000,2023-06-01 13:33:29+00:00,145.0,139.0,226.7,233.95,0.0,0.0,1.0,8.0,505.6644304199218,REGULAR,USD,call,MDB,375.43,2023-06-14 18:07:32.436257,,20230616,2023-06-16,232.1375,1.2447634692476852,-230.43,18131.02512268726,-61.377620328689765,99.93626806835742,0.06373193164257884,61.83243214447433,3.098952767685403
9,MDB230616C00150000,2023-06-02 13:35:23+00:00,150.0,238.0,220.75,228.0,0.0,0.0,1.0,46.0,645.8986301269532,REGULAR,USD,call,MDB,375.43,2023-06-14 18:07:32.436257,,20230616,2023-06-16,226.1875,1.2447634692476852,-225.43,17666.302277477032,-60.045814133127344,99.24980888868048,0.7501911113195234,60.247582771755056,3.1798245614035086
