,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,contractSize,currency,option_type,root,root price,Quote_Time,ER Date,Expstring,Expiry,fee,daysout,OTM,ARR,PctOTM,callPITM,POW,PctFee,BidAskSpread
0,PB230421C00060000,2023-03-30 17:44:55+00:00,60.0,3.6,3.3,4.7,0.0,0.0,5.0,381.0,57.568783691406246,REGULAR,USD,call,PB,61.58,2023-04-02 21:52:17.361456,,20230421,2023-04-21,4.35,18.08868794611111,-1.5799999999999983,142.53954566314027,-2.5657681065280906,58.03611264308647,41.96388735691353,7.063981812276713,29.787234042553198
1,PB230421C00065000,2023-03-24 19:47:12+00:00,65.0,2.5,0.8,2.55,0.0,0.0,22.0,100.0,54.05319384765627,REGULAR,USD,call,PB,61.58,2023-04-02 21:52:17.361456,,20230421,2023-04-21,2.1125,18.08868794611111,3.4200000000000017,69.22179085365146,5.553751217927902,32.66517089931343,67.33482910068656,3.4304969145826565,68.62745098039215
2,PB230421C00070000,2023-03-24 19:58:08+00:00,70.0,1.3,0.2,0.8,0.0,0.0,18.0,385.0,50.586431640624994,REGULAR,USD,call,PB,61.58,2023-04-02 21:52:17.361456,,20230421,2023-04-21,0.6500000000000001,18.08868794611111,8.420000000000002,21.299012570354304,13.673270542383895,12.755332056032548,87.24466794396746,1.0555375121792792,75.0
3,PB230421C00075000,2023-03-20 19:52:21+00:00,75.0,0.05,0.0,0.5,0.0,0.0,1.0,364.0,57.22699023437501,REGULAR,USD,call,PB,61.58,2023-04-02 21:52:17.361456,,20230421,2023-04-21,0.375,18.08868794611111,13.420000000000002,12.287891867512094,21.792789866839886,6.086695950942984,93.91330404905702,0.6089639493341994,100.0
4,PB230519C00075000,2023-03-22 14:39:34+00:00,75.0,0.85,0.0,0.7,0.0,0.0,,5.0,47.51029052734375,REGULAR,USD,call,PB,61.58,2023-04-02 21:52:17.361456,,20230519,2023-05-19,0.5249999999999999,46.08868794611111,13.420000000000002,6.751777756694261,21.792789866839886,12.144805105937712,87.8551948940623,0.8525495290678791,100.0
5,PB230616C00060000,2022-12-28 18:59:30+00:00,60.0,13.84,14.0,17.9,0.0,0.0,1.0,0.0,140.47881323242186,REGULAR,USD,call,PB,61.58,2023-04-02 21:52:17.361456,,20230616,2023-06-16,16.924999999999997,74.08868794611111,-1.5799999999999983,135.4035196391281,-2.5657681065280906,51.63793642967389,48.36206357032611,27.484572913283532,21.7877094972067
6,PB230616C00070000,2023-03-09 15:59:49+00:00,70.0,2.5,0.9,2.35,0.0,0.0,5.0,23.0,47.21732470703125,REGULAR,USD,call,PB,61.58,2023-04-02 21:52:17.361456,,20230616,2023-06-16,1.9875000000000003,74.08868794611111,8.420000000000002,15.900413310650944,13.673270542383895,27.344001654881634,72.65599834511836,3.2275089314712573,61.70212765957448
7,PB230616C00075000,2023-02-08 20:24:22+00:00,75.0,5.81,0.35,3.0,0.0,0.0,10.0,63.0,50.70850073242188,REGULAR,USD,call,PB,61.58,2023-04-02 21:52:17.361456,,20230616,2023-06-16,2.3375,74.08868794611111,13.420000000000002,18.700486094916513,21.792789866839886,19.40808416786613,80.59191583213388,3.7958752841831767,88.33333333333333
8,PB230616C00080000,2023-03-07 14:54:06+00:00,80.0,0.7,0.05,0.85,0.0,0.0,5.0,466.0,48.1450498046875,REGULAR,USD,call,PB,61.58,2023-04-02 21:52:17.361456,,20230616,2023-06-16,0.65,74.08868794611111,18.42,5.200135170778924,29.91230919129588,11.382426341294295,88.61757365870571,1.055537512179279,94.11764705882354
9,PB230616C00085000,2023-02-03 15:57:50+00:00,85.0,1.21,0.0,3.9,0.0,0.0,5.0,5.0,71.55790161132812,REGULAR,USD,call,PB,61.58,2023-04-02 21:52:17.361456,,20230616,2023-06-16,2.925,74.08868794611111,23.42,23.400608268505156,38.03182851575187,15.871531161104386,84.12846883889561,4.7499188048067555,100.0
