,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,contractSize,currency,option_type,root,root price,Quote_Time,ER Date,Expstring,Expiry,fee,daysout,OTM,ARR,PctOTM,callPITM,POW,PctFee,BidAskSpread
0,AMZN230331C00050000,2023-03-23 18:45:38+00:00,50.0,47.83,47.45,47.75,0.0,0.0,1.0,16.0,245.70351074218752,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,47.675,6.548903642951389,-47.239999999999995,2732.5619428615955,-48.580830933772106,97.83625313427167,2.163746865728328,49.02817770464829,0.6322444678609002
1,AMZN230331C00055000,2023-03-17 18:30:28+00:00,55.0,43.6,42.4,42.9,0.0,0.0,1.0,1.0,220.11763720703118,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,42.775,6.548903642951389,-42.239999999999995,2451.7113184248506,-43.438914027149316,97.3364132184337,2.663586781566295,43.98909913615796,1.179245283018868
2,AMZN230331C00060000,2023-03-20 14:34:31+00:00,60.0,37.0,37.35,37.9,0.0,0.0,2.0,4.0,188.28130859375,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,37.7625,6.548903642951389,-37.239999999999995,2164.412592916854,-38.29699712052653,97.22220260806225,2.777797391937753,38.83432743726862,1.4725568942436336
3,AMZN230331C00065000,2023-03-23 16:33:49+00:00,65.0,35.55,32.5,32.8,0.0,0.0,1.0,4.0,163.672056640625,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,32.724999999999994,6.548903642951389,-32.239999999999995,1875.6809560596894,-33.15508021390374,96.6914524171257,3.308547582874297,33.65384615384615,0.9230769230769144
4,AMZN230331C00070000,2023-03-23 17:31:25+00:00,70.0,30.02,27.35,27.95,0.0,0.0,10.0,24.0,138.08624707031248,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,27.8,6.548903642951389,-27.239999999999995,1593.3974202737777,-28.01316330728095,96.22181295389197,3.7781870461080302,28.589058000822707,2.193784277879334
5,AMZN230331C00075000,2023-03-23 17:06:04+00:00,75.0,25.5,22.3,22.85,0.0,0.0,1.0,459.0,108.69186279296876,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,22.712500000000002,6.548903642951389,-22.239999999999995,1301.7999607182796,-22.871246400658162,96.27655442446121,3.72344557553879,23.35715754833402,2.4663677130044874
6,AMZN230331C00080000,2023-03-23 19:04:21+00:00,80.0,18.87,17.25,17.75,0.0,0.0,105.0,437.0,81.2501875,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,17.625,6.548903642951389,-17.239999999999995,1010.2025011627817,-17.729329494035373,96.35261781379346,3.647382186206542,18.12525709584533,2.898550724637681
7,AMZN230331C00081000,2023-03-22 16:46:42+00:00,81.0,19.05,16.45,16.75,0.0,0.0,11.0,26.0,83.30094824218747,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,16.675,6.548903642951389,-16.239999999999995,955.7518698944332,-16.700946112710813,94.92558122018715,5.074418779812845,17.148292883587,1.8237082066869346
8,AMZN230331C00082000,2023-03-24 14:14:51+00:00,82.0,15.55,15.4,15.85,-2.6999998,-14.794518,1.0,150.0,80.27363476562499,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,15.7375,6.548903642951389,-15.239999999999995,902.0176943006683,-15.672562731386257,94.35540647840526,5.644593521594743,16.18418346359523,2.9220779220779174
9,AMZN230331C00083000,2023-03-23 18:56:39+00:00,83.0,14.95,14.6,14.95,0.0,0.0,2.0,55.0,82.81267187499999,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,14.862499999999999,6.548903642951389,-14.239999999999995,851.8657970798209,-14.6441793500617,92.32745544385878,7.672544556141219,15.284348004936241,2.3972602739726003
