,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,contractSize,currency,option_type,root,root price,Quote_Time,ER Date,Expstring,Expiry,fee,daysout,OTM,ARR,PctOTM,callPITM,POW,PctFee,BidAskSpread
0,PB230421C00060000,2023-04-04 16:39:04+00:00,60.0,2.35,0.0,0.0,0.0,0.0,360.0,0.0,0.0010000000000000002,REGULAR,USD,call,PB,60.01,2023-04-06 00:51:44.596972,,20230421,2023-04-21,0.0,14.964067164675926,-0.00999999999999801,0.0,-0.01666388935177139,100.0,0.0,0.0,
1,PB230421C00065000,2023-03-24 19:47:12+00:00,65.0,2.5,0.0,0.0,0.0,0.0,22.0,0.0,12.500875,REGULAR,USD,call,PB,60.01,2023-04-06 00:51:44.596972,,20230421,2023-04-21,0.0,14.964067164675926,4.990000000000002,0.0,8.315280786535581,0.08005255377786304,99.91994744622214,0.0,
2,PB230421C00070000,2023-04-04 14:38:40+00:00,70.0,0.29,0.0,0.0,0.0,0.0,362.0,0.0,12.500875,REGULAR,USD,call,PB,60.01,2023-04-06 00:51:44.596972,,20230421,2023-04-21,0.0,14.964067164675926,9.990000000000002,0.0,16.647225462422934,5.8776213884344585e-08,99.99999994122379,0.0,
3,PB230421C00075000,2023-04-05 19:44:16+00:00,75.0,0.05,0.0,0.0,0.0,0.0,148.0,0.0,25.00075,REGULAR,USD,call,PB,60.01,2023-04-06 00:51:44.596972,,20230421,2023-04-21,0.0,14.964067164675926,14.990000000000002,0.0,24.979170138310288,0.0005293519433509093,99.99947064805664,0.0,
4,PB230519C00065000,2023-04-03 17:21:20+00:00,65.0,2.3,0.0,0.0,0.0,0.0,,0.0,6.250937500000001,REGULAR,USD,call,PB,60.01,2023-04-06 00:51:44.596972,,20230519,2023-05-19,0.0,42.964067164675924,4.990000000000002,0.0,8.315280786535581,0.009786063549998997,99.99021393645,0.0,
5,PB230519C00075000,2023-03-22 14:39:34+00:00,75.0,0.85,0.0,0.0,0.0,0.0,,0.0,12.500875,REGULAR,USD,call,PB,60.01,2023-04-06 00:51:44.596972,,20230519,2023-05-19,0.0,42.964067164675924,14.990000000000002,0.0,24.979170138310288,1.0022448347275144e-05,99.99998997755165,0.0,
6,PB230616C00060000,2022-12-28 18:59:30+00:00,60.0,13.84,14.0,17.9,0.0,0.0,1.0,0.0,152.46605798339843,REGULAR,USD,call,PB,60.01,2023-04-06 00:51:44.596972,,20230616,2023-06-16,16.924999999999997,70.96406716467592,-0.00999999999999801,145.06392258757074,-0.01666388935177139,50.009889552348255,49.990110447651745,28.203632727878684,21.7877094972067
7,PB230616C00065000,2023-04-03 14:20:00+00:00,65.0,3.3,0.0,0.0,0.0,0.0,,0.0,3.12596875,REGULAR,USD,call,PB,60.01,2023-04-06 00:51:44.596972,,20230616,2023-06-16,0.0,70.96406716467592,4.990000000000002,0.0,8.315280786535581,3.414506505017403e-07,99.99999965854936,0.0,
8,PB230616C00070000,2023-03-09 15:59:49+00:00,70.0,2.5,0.0,0.0,0.0,0.0,5.0,0.0,6.250937500000001,REGULAR,USD,call,PB,60.01,2023-04-06 00:51:44.596972,,20230616,2023-06-16,0.0,70.96406716467592,9.990000000000002,0.0,16.647225462422934,1.1569237527178933e-06,99.99999884307624,0.0,
9,PB230616C00075000,2023-04-04 14:46:15+00:00,75.0,0.4,0.0,0.0,0.0,0.0,8.0,0.0,12.500875,REGULAR,USD,call,PB,60.01,2023-04-06 00:51:44.596972,,20230616,2023-06-16,0.0,70.96406716467592,14.990000000000002,0.0,24.979170138310288,0.002613233414593816,99.99738676658541,0.0,
