Trade Date,Transaction Type,Symbol,Shares,Share Price,Principal Amount,Commission Fees,Net Amount,Accrued Interest,,Acct,Open Daysout,Expiry Date,Expiry Daysout,Open Action,Open CommsnOpen Date,Contracts,Open Fee / Share,Open Root Price,Option Type,Root,Strike Price,Open Xtn Type,Open IV,Open POW,ARR BE Close Fee,ARR BE Profit,Cur Price % Chg,Cur Root Price,Open % Fee,Open % OTM,Open ARR,Strike v Cur Root Price,Open Net Proceeds,Cash at Risk,Stock $ at Risk,Close Fee / Share,Close Date,Close Root Price,Close Net Proceeds,Close Daysout,Close Commsn,Close Xtn Type,Close ARR,Assigned ARR
12/12/2022,Sell to open,MPW230127P00010000,-8.0,0.55,440.0,8.0,431.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/12/2022,Sell to open,MRNA230120P00150000,-1.0,7.95,795.0,1.0,793.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/12/2022,Buy to open,NFLX230127P00270000,1.0,10.9,-1090.0,1.0,-1091.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/12/2022,Sell to close,NFLX230127P00270000,-1.0,10.7,1070.0,1.0,1068.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/12/2022,Sell to open,NFLX230127P00270000,-1.0,10.7,1070.0,1.0,1068.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/12/2022,Sell to open,OKTA230113P00060000,-1.0,2.2,220.0,1.0,218.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/09/2022,Assignment,AVGO221209C00485000,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/09/2022,Buy to close,DDOG221223P00066000,3.0,1.11,-333.0,3.0,-336.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/09/2022,Sell to open,DDOG230217C00095000,-3.0,3.2,960.0,3.0,956.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/09/2022,Assignment,DVN230120P00085000,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/09/2022,Buy to close,LRCX221209C00450000,2.0,3.65,-730.0,2.0,-732.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/09/2022,Sell to open,MRNA230113P00160000,-1.0,7.8,780.0,1.0,778.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/09/2022,Assignment,NVDA221209C00155000,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/09/2022,Buy to close,SBLK221223P00018000,7.0,0.25,-175.0,7.0,-182.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/08/2022,Sell to open,AFL230217C00072500,-3.0,2.45,735.0,3.0,731.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/08/2022,Sell to open,MRNA230113P00162500,-1.0,7.5,750.0,1.0,748.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/07/2022,Sell to open,ACLS230120P00070000,-1.0,2.25,225.0,1.0,223.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/07/2022,Sell to open,AMR230120P00140000,-1.0,5.6,560.0,1.0,558.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/07/2022,Sell to close,CF221216P00092500,-1.0,0.8,80.0,1.0,79.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/07/2022,Sell to open,WSM230106C00122000,-4.0,2.2,880.0,4.0,875.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/06/2022,Sell to open,ADBE221230P00300000,-1.0,5.8,580.0,1.0,578.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/06/2022,Buy to close,CF221230C00117000,1.0,0.8,-80.0,1.0,-81.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/06/2022,Buy to close,DDOG230120C00090000,3.0,0.9,-270.0,3.0,-273.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/06/2022,Sell to open,ET230120P00015000,-10.0,2.81,2810.0,10.0,2799.94,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/06/2022,Buy to close,XOM230106C00116000,2.0,0.6,-120.0,2.0,-122.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2022,Buy to open,CF221216P00092500,1.0,0.35,-35.0,1.0,-36.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2022,Assignment,ET230120P00014000,7.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2022,Sell to open,SNOW230106C00160000,-1.0,2.9,290.0,1.0,288.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2022,Assignment,AMD221202C00067000,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2022,Buy to close,CRM221202C00150000,2.0,0.1,-20.0,2.0,-22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2022,Buy to close,CRWD221223C00150000,2.0,0.36,-72.0,2.0,-74.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2022,Buy to close,DVN221202P00069000,2.0,0.57,-114.0,2.0,-116.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2022,Assignment,DVN221202P00071000,5.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2022,Assignment,DVN221202P00073000,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2022,Assignment,EXPE221202C00100000,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2022,Assignment,MRNA221202C00150000,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2022,Buy to close,MRVL221230P00038000,2.0,0.36,-72.0,2.0,-74.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2022,Assignment,OKTA221202C00053000,5.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2022,Expired,OKTA221202P00046000,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2022,Assignment,SNOW221202P00150000,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2022,Sell to open,ZIM230421P00020000,-5.0,4.8,2400.0,5.0,2394.95,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2022,Sell to open,DDOG221230P00069000,-3.0,2.5,750.0,3.0,746.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2022,Buy to close,DVN221209P00065000,1.0,0.65,-65.0,1.0,-66.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2022,Sell to open,MPW230106P00012000,-6.0,0.5,300.0,6.0,293.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2022,Sell to open,NFLX230106P00290000,-1.0,6.9,690.0,1.0,688.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
