,Active,POWmin,POWmax,ARRmin,ARRmax,PctOTMmin,PctOTMmax,PctFeemin,PctFeemax,daysoutmin,daysoutmax,Root_MaxPctPort,Root_MaxPctOptions,Spike_Pct,Spike_Days
Put_STO_Short,TRUE, 69.0 , 85.0 , 19.0 , 95.0 , 4.0 , 18.0 , 2.0 , 12.0 , 2.0 , 55.0 , 2.0 , 15.0 ,,
Put_STO_Mid,TRUE, 69.0 , 85.0 , 15.0 , 75.0 , 2.0 , 18.0 , 2.0 , 12.0 , 2.0 , 55.0 , 2.0 , 15.0 ,,
Put_STO_Long,TRUE, 25.0 , 85.0 , 10.0 , 75.0 , (5.0), 20.0 , 5.0 , 25.0 , 145.0 , 500.0 , 2.0 , 15.0 ,,
Put_BTC,TRUE, (25.0), 125.0 , (25.0), 500.0 , (25.0), 500.0 , (25.0), 500.0 , -   , 500.0 ,,,,
Call_STO_Short,TRUE, 69.0 , 85.0 , 19.0 , 95.0 , 4.0 , 18.0 , 2.0 , 12.0 , 2.0 , 55.0 , 2.0 , 15.0 ,,
Call_STO_Mid,TRUE, 69.0 , 85.0 , 19.0 , 95.0 , 4.0 , 18.0 , 2.0 , 12.0 , 2.0 , 55.0 , 2.0 , 15.0 ,,
Call_STO_Long,TRUE, 25.0 , 85.0 , 10.0 , 75.0 , (15.0), 20.0 , 5.0 , 25.0 , 145.0 , 500.0 , 2.0 , 15.0 ,,
Call_Buy_Write,FALSE, 69.0 , 85.0 , 19.0 , 95.0 , 4.0 , 18.0 , 2.0 , 12.0 , 2.0 , 55.0 , 2.0 , 15.0 ,,
Call_BTC,TRUE, (25.0), 125.0 , (25.0), 500.0 , (25.0), 500.0 , (25.0), 500.0 , -   , 500.0 ,,,,
Call_STO_Spike,FALSE, 69.0 , 85.0 , 19.0 , 95.0 , 4.0 , 18.0 , 2.0 , 12.0 , 2.0 , 55.0 , 2.0 , 15.0 ,,
Put_STO_Spike,FALSE, 69.0 , 85.0 , 19.0 , 95.0 , 4.0 , 18.0 , 2.0 , 12.0 , 2.0 , 55.0 , 2.0 , 15.0 ,,
