Symbol,Qty,Underlying symbol,Bid,Ask,Close,Price,Cost,Mkt value,Maint req,Gain ($)
AMD Jan 27 2023 61 Put (Weekly),-5,AMD,2.45,2.49,2.85,2.47,"-1,206.66","-1,235.00","30,500.00",-28.34
AMZN Jan 27 2023 82 Put (Weekly),-5,AMZN,2.8,2.89,3.5296,2.85,"-1,246.66","-1,422.50","41,000.00",-175.84
CSCO Mar 17 2023 50 Put,-4,CSCO,3.75,3.85,3.8897,3.8,"-1,137.32","-1,520.00","20,000.00",-382.68
DDOG Jan 27 2023 70 Put (Weekly),-4,DDOG,4.1,4.45,4.2373,4.28,"-1,137.32","-1,710.00","28,000.00",-572.68
FSR Dec 23 2022 6.5 Put (Weekly),-40,FSR,0,0.01,0.015,0.005,"-1,173.48",-20,"26,000.00","1,153.48"
MO Mar 17 2023 47.5 Call,-5,MO,1.47,1.51,1.305,1.49,-821.67,-745,0,76.67
MU Jan 20 2023 50 Put,-8,MU,2.07,2.11,2.4731,2.09,"-1,314.67","-1,672.00","40,000.00",-357.33
NVDA Jan 27 2023 152.5 Put (Weekly),-6,NVDA,9.95,10.15,9.775,10.05,"-3,415.95","-6,030.00","91,500.00","-2,614.05"
OKTA Jan 20 2023 60 Call,-5,OKTA,8.95,9.1,9.8107,9.03,-996.67,"-4,512.50",0,"-3,515.83"
ON Dec 30 2022 67 Put (Weekly),-5,ON,4.5,4.9,5.1415,4.7,"-1,096.66","-2,350.00","33,500.00","-1,253.34"
SNOW Jan 13 2023 130 Put (Weekly),-3,SNOW,4.3,4.6,4.5,4.45,"-1,377.98","-1,335.00","39,000.00",42.98
WSM Jan 27 2023 127 Call (Weekly),-3,WSM,2.9,3.9,2.81,3.4,-930,"-1,020.00",0,-90
