Ticker,root price,ER Date
AAL,14.53,
AAPL,185.275,1/25/2023 2:59
ABBV,168.9,1/31/2023 5:30
ABT,112.47,
ACLS,131.56,
ACRE,9.29,
ADBE,635.715,12/15/2022 13:00
ADI,165.67,
AFL,76.57,1/31/2023 2:59
AFYA,20.25,
AIG,69.64,2/14/2023 2:59
ALK,36.3715,
AMD,177.89,1/30/2023 13:00
AMGN,322.65,
AMP,391.328,
AMR,405.73,
AMT,191.575,
AMZN,172.2801,2/1/2023 2:59
AOS,77.8,1/25/2023 5:30
ARCC,20.135,
ARES,125.5888,
ARNC,29.88,2/16/2023 5:30
ASC,16.2606,
ASO,64.45,
ASRT,0.7887,
ATCO,14.8,
AVB,173.5928,1/31/2023 2:59
AVGO,1226.0356,12/8/2022 13:00
AX,52.8,
AZO,2826.45,12/6/2022 5:30
B,34.92,
BA,208.288,1/24/2023 5:30
BAC,33.4773,1/13/2023 5:30
BBBY,0.0665,1/4/2023 4:30
BGSF,10.2907,
BIIB,242.255,2/1/2023 5:30
BNTX,92.4,11/7/2022 5:00
BRSP,7.01,
BSM,16.225,
C,45.12,
CAG,29.345,1/4/2023 4:30
CAT,312.925,1/26/2023 5:30
CBRE,84.24,
CCI,107.03,
CCRD,29.295,
CEG,131.8,
CF,76.655,2/13/2023 2:59
CFR,103.315,
CHPT,1.9783,
CL,84.36,1/27/2023 5:30
CLX,155.6615,2/1/2023 13:15
CMA,51.17,
CMCSA,45.16,1/25/2023 5:30
CMG,2470.215,
CONE,90.02,
CPA,98.865,
CPT,95.85,
CRM,286.9154,2/27/2023 2:59
CRWD,303.6914,11/29/2022 14:00
CSCO,50.0569,2/7/2022 2:59
CSX,36.525,1/18/2023 2:59
CUBE,43.0899,
CVCO,346.065,
CVS,73.405,2/7/2023 5:30
CVX,151.73,1/26/2023 5:30
DAC,75.2,2/6/2023 2:59
DAL,39.795,
DDOG,134.29,2/8/2023 5:30
DHI,146.95,1/31/2023 5:30
DIS,150.26,
DISCA,25.02,4/26/2022 0:00
DLR,143.34,
DOCU,57.6519,
DUK,95.945,2/8/2023 4:00
DVN,41.615,2/13/2023 2:59
EDRY,16.75,
EL,132.6015,
ENB,35.095,
EPAM,287.64,2/15/2023 5:30
EPD,26.7,1/30/2023 5:30
EPR,43.245,
ET,14.355,2/14/2023 2:59
ETSY,72.11,8/2/2022 3:59
EXC,34.145,
EXP,234.765,
EXPE,151.815,2/8/2023 2:59
EXR,142.5958,
F,13.26,
FAF,60.6,10/27/2022 8:00
FANG,151.34,2/20/2023 2:59
FB,196.64,
FCNCA,1532.9775,
FDX,242.53,12/20/2022 13:00
FITB,33.95,
FLNG,29.02,
FMS,19.23,
FNF,50.88,2/21/2023 2:59
FRC,19.95,
FSLY,21.98,2/14/2023 2:59
FSR,0.7699,11/2/2022 14:00
FYBR,23.999,11/2/2022 5:30
G,47.29,
GBX,46.85,
GD,265.5,1/24/2023 5:30
GFS,78.94,
GIS,64.615,12/20/2022 5:30
GLNG,21.722,2/22/2023 2:59
GLPI,44.41,
GOL,2.72,
GOOG,142.02,
GOOGL,140.4589,1/30/2023 13:00
GS,387.13,1/16/2023 5:30
GSL,20.87,11/9/2022 7:30
GTX,7.04,
HA,14.02,
HD,354.9927,2/20/2023 5:30
HDSN,12.82,
HHS,15.25,
HIW,22.115,
HON,196.455,2/1/2023 5:30
HR,15.9657,
HRB,46.54,
HUBG,45.19,
